Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
92,135,227,7626.2918,7626.131288166912,7626.211453744493,-0.16051183308809414,-0.08034625550681085,0.16051183308809414,0.08034625550681085,FRDM2012
92,136,228,7627.4763,7627.38899426394,7626.140350877193,-0.08730573606044345,-1.3359491228075058,0.08730573606044345,1.3359491228075058,UAM_V4
92,137,229,7620.7218,7620.825088278381,7619.650655021834,0.10328827838111465,-1.0711449781665578,0.10328827838111465,1.0711449781665578,UAM_V4
92,138,230,7620.9227,7620.8024997364655,7619.217391304348,-0.1202002635345707,-1.7053086956520929,0.1202002635345707,1.7053086956520929,UAM_V4
92,139,231,7613.3879,7613.578252220483,7611.601731601731,0.19035222048296419,-1.7861683982682734,0.19035222048296419,1.7861683982682734,UAM_V4
92,140,232,7611.8984,7612.090630721483,7610.2155172413795,0.19223072148270148,-1.682882758620508,0.19223072148270148,1.682882758620508,UAM_V4
92,141,233,7603.9574,7603.391635726849,7601.759656652361,-0.5657642731512169,-2.1977433476395163,0.5657642731512169,2.1977433476395163,UAM_V4
92,142,234,7600.716,7600.406722576046,7599.444444444444,-0.3092774239539722,-1.2715555555560059,0.3092774239539722,1.2715555555560059,UAM_V4
92,143,235,7590.9151,7591.374340205126,7589.659574468085,0.45924020512575225,-1.2555255319148273,0.45924020512575225,1.2555255319148273,UAM_V4
92,144,236,7586.4854,7586.608005527345,7585.720338983051,0.12260552734551311,-0.7650610169484935,0.12260552734551311,0.7650610169484935,UAM_V4
92,145,237,7576.1026,7575.818656434169,7574.894514767932,-0.28394356583157787,-1.2080852320677877,0.28394356583157787,1.2080852320677877,UAM_V4
92,146,238,7570.1262,7570.043117669312,7569.915966386555,-0.08308233068783011,-0.21023361344487057,0.08308233068783011,0.21023361344487057,UAM_V4
